tanggal,prec
05-10-2021,5.0
06-10-2021,0.0
07-10-2021,0.0
08-10-2021,5.0
09-10-2021,1.6
10-10-2021,0.0
11-10-2021,0.0
12-10-2021,0.0
13-10-2021,0.0
14-10-2021,5.0
15-10-2021,0.0
16-10-2021,0.0
17-10-2021,3.4
18-10-2021,6.5
19-10-2021,1.8
20-10-2021,0.2
21-10-2021,10.5
22-10-2021,14.5
23-10-2021,7.5
24-10-2021,15.5
25-10-2021,0.0
26-10-2021,47.5
27-10-2021,1.4
28-10-2021,1.0
29-10-2021,2.2
30-10-2021,3.0
31-10-2021,11.4
01-11-2021,33.8
02-11-2021,5.5
03-11-2021,3.0
04-11-2021,0.0
05-11-2021,106.0
06-11-2021,0.0
07-11-2021,1.8
08-11-2021,1.5
09-11-2021,0.0
10-11-2021,6.5
11-11-2021,39.5
12-11-2021,0.2
13-11-2021,30.2
14-11-2021,26.9
15-11-2021,12.1
16-11-2021,45.0
17-11-2021,0.4
18-11-2021,6.0
19-11-2021,12.1
20-11-2021,2.6
21-11-2021,0.0
22-11-2021,0.7
23-11-2021,3.3
24-11-2021,2.0
25-11-2021,0.5
26-11-2021,1.2
27-11-2021,11.2
28-11-2021,1.5
29-11-2021,0.0
30-11-2021,12.2
01-12-2021,4.5
02-12-2021,6.3
03-12-2021,0.8
04-12-2021,7.4
05-12-2021,2.5
06-12-2021,1.5
07-12-2021,5.8
08-12-2021,0.4
09-12-2021,0.0
10-12-2021,6.3
11-12-2021,2.3
12-12-2021,0.2
13-12-2021,6.3
14-12-2021,25.7
15-12-2021,0.6
16-12-2021,5.5
17-12-2021,3.5
18-12-2021,6.3
19-12-2021,0.5
20-12-2021,1.1
21-12-2021,5.2
22-12-2021,2.2
23-12-2021,0.0
24-12-2021,28.3
25-12-2021,6.3
26-12-2021,14.0
27-12-2021,6.0
28-12-2021,36.9
29-12-2021,3.5
30-12-2021,0.0
31-12-2021,4.7
01-01-2022,67.9
02-01-2022,10.2
03-01-2022,10.2
04-01-2022,0.0
05-01-2022,0.0
06-01-2022,1.2
07-01-2022,48.5
08-01-2022,0.4
09-01-2022,0.4
10-01-2022,4.6
11-01-2022,1.2
12-01-2022,21.2
13-01-2022,10.2
14-01-2022,8.1
15-01-2022,0.0
16-01-2022,9.5
17-01-2022,1.8
18-01-2022,25.0
19-01-2022,5.0
20-01-2022,40.7
21-01-2022,3.0
22-01-2022,12.7
23-01-2022,0.0
24-01-2022,0.7
25-01-2022,0.0
26-01-2022,3.7
27-01-2022,10.3
28-01-2022,0.0
29-01-2022,0.3
30-01-2022,10.2
31-01-2022,10.2
01-02-2022,4.2
02-02-2022,5.5
03-02-2022,11.0
04-02-2022,11.0
05-02-2022,4.3
06-02-2022,17.0
07-02-2022,31.4
08-02-2022,4.2
09-02-2022,6.0
10-02-2022,3.9
11-02-2022,47.5
12-02-2022,12.7
13-02-2022,30.8
14-02-2022,2.5
15-02-2022,16.8
16-02-2022,0.0
17-02-2022,3.2
18-02-2022,29.0
19-02-2022,24.5
20-02-2022,0.2
21-02-2022,11.0
22-02-2022,10.1
23-02-2022,11.0
24-02-2022,2.0
25-02-2022,6.0
26-02-2022,0.0
27-02-2022,11.0
28-02-2022,14.5
01-03-2022,13.7
02-03-2022,4.6
03-03-2022,11.0
04-03-2022,1.2
05-03-2022,0.0
06-03-2022,1.0
07-03-2022,4.6
08-03-2022,8.1
09-03-2022,23.0
10-03-2022,5.6
11-03-2022,1.0
12-03-2022,7.8
13-03-2022,5.5
14-03-2022,2.1
15-03-2022,13.3
16-03-2022,2.0
17-03-2022,0.0
18-03-2022,0.0
19-03-2022,4.6
20-03-2022,15.3
21-03-2022,6.0
22-03-2022,0.0
